chars,ext,extraction_status,file,ocr_failed_pages,text_path,used_ocr
47851,pdf,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__openal__sedentary-__304361.pdf,,project_output\05_extraction\NTV__busca1__openal__sedentary-__304361.txt,False
11,html,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__crossr__internatio__e03f5f.html,,project_output\05_extraction\NTV__busca1__crossr__internatio__e03f5f.txt,False
63914,pdf,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__pubmed__effects-of__955eb5.pdf,,project_output\05_extraction\NTV__busca1__pubmed__effects-of__955eb5.txt,False
66752,pdf,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__europe__network-me__b478c0.pdf,,project_output\05_extraction\NTV__busca1__europe__network-me__b478c0.txt,False
67452,pdf,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__europe__obesity-re__81c17e.pdf,,project_output\05_extraction\NTV__busca1__europe__obesity-re__81c17e.txt,False
61568,pdf,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__openal__a-systemat__8e7258.pdf,,project_output\05_extraction\NTV__busca1__openal__a-systemat__8e7258.txt,False
52946,pdf,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__europe__interlinke__d3327e.pdf,,project_output\05_extraction\NTV__busca1__europe__interlinke__d3327e.txt,False
11,html,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__openal__feasibilit__969d87.html,,project_output\05_extraction\NTV__busca1__openal__feasibilit__969d87.txt,False
11,html,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__pubmed__the-effect__ada219.html,,project_output\05_extraction\NTV__busca1__pubmed__the-effect__ada219.txt,False
147205,pdf,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__europe__obesity-co__cc8844.pdf,,project_output\05_extraction\NTV__busca1__europe__obesity-co__cc8844.txt,False
99986,pdf,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__openal__sedentary-__f49a74.pdf,,project_output\05_extraction\NTV__busca1__openal__sedentary-__f49a74.txt,False
1622,html,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__openal__obesity-an__916b5b.html,,project_output\05_extraction\NTV__busca1__openal__obesity-an__916b5b.txt,False
11,html,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__pubmed__associatio__ef5c0e.html,,project_output\05_extraction\NTV__busca1__pubmed__associatio__ef5c0e.txt,False
86816,pdf,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__pubmed__population__2afb54.pdf,,project_output\05_extraction\NTV__busca1__pubmed__population__2afb54.txt,False
84611,pdf,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__pubmed__a-scoping-__da300c.pdf,,project_output\05_extraction\NTV__busca1__pubmed__a-scoping-__da300c.txt,False
10016,html,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__pubmed__healthy-li__1322be.html,,project_output\05_extraction\NTV__busca1__pubmed__healthy-li__1322be.txt,False
73941,pdf,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__pubmed__adherence-__0144b8.pdf,,project_output\05_extraction\NTV__busca1__pubmed__adherence-__0144b8.txt,False
